name_product,product_link,price_sale,price_original,discount,sold,rating,image_link,sold_numeric,sold_info
TORCH TAS RANSEL KULIAH KERJA MUAT LAPTOP RAIN COVER BACKPACK SINPO,https://www.tokopedia.com/torch-id/torch-tas-ransel-kuliah-kerja-muat-laptop-rain-cover-backpack-sinpo?extParam=src%3Dshop%26whid%3D602001&aff_unique_id=&channel=others&chain_key=,380140,458000,17%,1rb+ terjual,4.9,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/10/14/30c85b44-1894-4831-9320-22f11db6c702.jpg,1,+ terjual
TORCH TAS LAPTOP TAS SELEMPANG LAPTOP BAG SLING BAG JINHAE,https://www.tokopedia.com/torch-id/torch-tas-laptop-tas-selempang-laptop-bag-sling-bag-jinhae?extParam=whid%3D602001%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,278000,278000,Tidak Ada Diskon,100+ terjual,4.9,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/4/5/5549dadc-0239-499e-a357-b7c2e5ff4b58.jpg,100,+ terjual
TORCH TAS LAPTOP TAS SELEMPANG LAPTOP BAG SLING BAG SUIHUA,https://www.tokopedia.com/torch-id/torch-tas-laptop-tas-selempang-laptop-bag-sling-bag-suihua?extParam=src%3Dshop%26whid%3D602001&aff_unique_id=&channel=others&chain_key=,298000,298000,Tidak Ada Diskon,250+ terjual,5.0,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/4/27/a58256fa-1b3a-4e5a-a25d-56a1e0e7336f.jpg,250,+ terjual
TORCH TAS LAPTOP TAS SELEMPANG LAPTOP BAG SLING BAG GURYE,https://www.tokopedia.com/torch-id/torch-tas-laptop-tas-selempang-laptop-bag-sling-bag-gurye?extParam=src%3Dshop%26whid%3D602001&aff_unique_id=&channel=others&chain_key=,278000,278000,Tidak Ada Diskon,100+ terjual,5.0,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/8/21/5f956e5c-ebc8-47a7-a27b-389aeaeda022.jpg,100,+ terjual
TORCH JACKET LEE JUN OLIVE,https://www.tokopedia.com/torch-id/torch-jacket-lee-jun-olive?extParam=src%3Dshop%26whid%3D602001&aff_unique_id=&channel=others&chain_key=,399000,399000,Tidak Ada Diskon,26 terjual,4.7,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/12/8/8f2fe069-f04c-4a2b-bbaf-09cb86a176c8.jpg,26,Belum Ada Penjualan
TORCH CELANA PENDEK PANTS JAEBUM HITAM,https://www.tokopedia.com/torch-id/torch-celana-pendek-pants-jaebum-hitam?extParam=whid%3D602001%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,299000,299000,Tidak Ada Diskon,50+ terjual,4.9,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/12/8/bfe229fd-5842-4632-97d7-e6e5eebba5b8.jpg,50,+ terjual
TORCH CELANA PENDEK PANTS JAEBUM NAVY,https://www.tokopedia.com/torch-id/torch-celana-pendek-pants-jaebum-navy?extParam=src%3Dshop%26whid%3D602001&aff_unique_id=&channel=others&chain_key=,299000,299000,Tidak Ada Diskon,40+ terjual,4.9,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/12/8/7f0f08de-d8bc-4180-9052-3fb511ac5d5f.jpg,40,+ terjual
TORCH CELANA PENDEK PANTS JAEBUM COKLAT,https://www.tokopedia.com/torch-id/torch-celana-pendek-pants-jaebum-coklat?extParam=src%3Dshop%26whid%3D602001&aff_unique_id=&channel=others&chain_key=,299000,299000,Tidak Ada Diskon,40+ terjual,4.9,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/12/8/fc1fe7ec-160b-43f4-a0dc-799553bf3769.jpg,40,+ terjual
TORCH DOMPET GANTUNG NECK WALLET OSAN,https://www.tokopedia.com/torch-id/torch-dompet-gantung-neck-wallet-osan?extParam=src%3Dshop%26whid%3D602001&aff_unique_id=&channel=others&chain_key=,134300,158000,15%,750+ terjual,4.9,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/11/6/65b87983-d86a-4c5c-b29e-da231acaef17.png,750,+ terjual
TORCH INCHEON NECK WALLET BLACK,https://www.tokopedia.com/torch-id/torch-incheon-neck-wallet-black?extParam=src%3Dshop%26whid%3D602001&aff_unique_id=&channel=others&chain_key=,158000,158000,Tidak Ada Diskon,60+ terjual,4.9,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/4/27/6ba0b4fe-beb6-4362-8c8c-d14948752c83.jpg,60,+ terjual
